,Min,Max,Average
11-28,0.022204376616639838,1.1092702606376998,0.3745007034644771
11-29,0.025156998052777865,1.2567751965598744,0.42429984099438806
11-30,0.022948495355183993,1.1464444088383612,0.3870510666589587
12-01,0.017017692367392326,0.8501576231454746,0.2870216927483789
12-02,0.01813270003182335,0.9058603732785071,0.30582749675301724
12-03,0.017904733772082924,0.8944717990021473,0.30198260049166586
12-04,0.018052361462594608,0.9018468768779441,0.3044725003389793
12-05,0.023182601138917326,1.1581396970341153,0.3909995125985549
12-06,0.022274463328329233,1.1127716021202916,0.37568279127015414
12-07,0.027119686571734688,1.3548257765226692,0.4574026947119816
12-08,0.03028905883950027,1.513158994438257,0.5108575682403622
12-09,0.026302742545001534,1.3140134750063281,0.4436240546724592
12-10,0.025597964375059793,1.2788046746080692,0.43173721249775954
12-11,0.024247838401234914,1.2113560532513175,0.4089658852187866
12-12,0.02055916475174141,1.027079950786241,0.34675243512125153
12-13,0.02186923889696358,1.0925276917255775,0.3688482452152244
12-14,0.02463023409659561,1.2304595020885893,0.41541540007735955
12-15,0.024548626913376517,1.2263826291836544,0.41403900712335057
12-16,0.02257274766764733,1.127673076389629,0.3807136776055693
12-17,0.021822954454855107,1.0902154468899057,0.3680676082971812
12-18,0.023991012418819003,1.1985257257275295,0.4046342386815613
12-19,0.02372990936403877,1.1854817273019074,0.4002304547167981
12-20,0.022307211060550877,1.1144075897493961,0.3762351170105076
12-21,0.021121645574277644,1.0551799627519405,0.35623927942055233
12-22,0.02303980959467167,1.1510062198716204,0.38859117956169303
12-23,0.025031137099646612,1.2504875256788377,0.42217706059392224
12-24,0.025327627171277543,1.2652993632148697,0.4271776846741681
12-25,0.01918789156888745,0.958574872386067,0.3236244374076866
12-26,0.0198598379376015,0.9921434852963442,0.33495753592778793
12-27,0.021019945997623822,1.0500993285216154,0.3545240066319277
12-28,0.022330489431039147,1.1155705138226346,0.37662773177623043
12-29,0.022335521068936208,1.1158218807660922,0.3767125957633876
12-30,0.01989342689411534,0.9938214982029858,0.3355240498209833
12-31,0.023689255138868864,1.1834507527904927,0.39954477746551587
